track_id,audio_score,annotation_score,final_score,mood_id,algorithm_version
399,0.6446660341555978,0.8571428571428571,0.7721521279479533,9,sad_hybrid_v1
80,0.8605895003162556,0.6470588235294118,0.7324710942441492,9,sad_hybrid_v1
157,0.48960847564832377,0.8571428571428571,0.7101291045450437,9,sad_hybrid_v1
27,0.7933017077798862,0.6470588235294118,0.7055559772296016,9,sad_hybrid_v1
41,0.9518567362428841,0.5294117647058824,0.6983897533206831,9,sad_hybrid_v1
31,0.8579206198608476,0.5882352941176471,0.6961094244149273,9,sad_hybrid_v1
283,0.9203924731182794,0.5454545454545454,0.6954297165200389,9,sad_hybrid_v1
76,0.9186635041113219,0.5294117647058824,0.6851124604680582,9,sad_hybrid_v1
185,0.5348156230234028,0.6666666666666666,0.6139262492093611,9,sad_hybrid_v1
397,0.7730955091714105,0.5,0.6092382036685642,9,sad_hybrid_v1
133,0.5831733080328905,0.6153846153846154,0.6025000924439254,9,sad_hybrid_v1
11,0.9549130297280202,0.35294117647058826,0.593729917773561,9,sad_hybrid_v1
311,0.6391888045540797,0.5454545454545454,0.5829482490943592,9,sad_hybrid_v1
356,0.7008042378241619,0.5,0.5803216951296648,9,sad_hybrid_v1
66,0.7509123972169512,0.45454545454545453,0.5730922316140532,9,sad_hybrid_v1
12,0.8105942441492725,0.4117647058823529,0.5712965211891208,9,sad_hybrid_v1
91,0.8676597090449083,0.36363636363636365,0.5652457017997815,9,sad_hybrid_v1
19,0.9327953826691966,0.3181818181818182,0.5640272439767695,9,sad_hybrid_v1
361,0.7770294117647059,0.4166666666666667,0.5608117647058823,9,sad_hybrid_v1
389,0.7730955091714105,0.4166666666666667,0.5592382036685641,9,sad_hybrid_v1
40,0.8135354206198607,0.3888888888888889,0.5587475015812777,9,sad_hybrid_v1
69,0.8221429475015812,0.3829787234042553,0.5586444130431857,9,sad_hybrid_v1
83,0.9422403542061986,0.29411764705882354,0.5533667299177736,9,sad_hybrid_v1
287,0.9644999999999999,0.2727272727272727,0.5494363636363636,9,sad_hybrid_v1
125,0.6233548387096775,0.5,0.549341935483871,9,sad_hybrid_v1
400,0.6190727387729285,0.5,0.5476290955091714,9,sad_hybrid_v1
262,0.9278143580012649,0.29411764705882354,0.5475963314358001,9,sad_hybrid_v1
279,0.9705588235294117,0.25,0.5382235294117647,9,sad_hybrid_v1
294,0.9290344718532575,0.2727272727272727,0.5352501523776666,9,sad_hybrid_v1
392,0.4543757115749525,0.5833333333333334,0.5317502846299811,9,sad_hybrid_v1
26,0.8412144212523719,0.3125,0.5239857685009488,9,sad_hybrid_v1
119,0.6602966476913346,0.4318181818181818,0.5232095681674429,9,sad_hybrid_v1
67,0.8024563567362428,0.3333333333333333,0.5209825426944972,9,sad_hybrid_v1
113,0.6468450347881087,0.42857142857142855,0.5158808710581007,9,sad_hybrid_v1
229,0.4638048703352309,0.5454545454545454,0.5127946754068196,9,sad_hybrid_v1
181,0.5297605945604048,0.5,0.511904237824162,9,sad_hybrid_v1
59,0.805965211891208,0.3142857142857143,0.5109575133279118,9,sad_hybrid_v1
71,0.7442884250474383,0.35294117647058826,0.5094800759013283,9,sad_hybrid_v1
74,0.8902953826691966,0.2553191489361702,0.5093096424293808,9,sad_hybrid_v1
20,0.687573687539532,0.3888888888888889,0.5083628083491462,9,sad_hybrid_v1
32,0.7233089816571789,0.35294117647058826,0.5010882985452245,9,sad_hybrid_v1
94,0.7205964579380139,0.35294117647058826,0.5000032890575585,9,sad_hybrid_v1
60,0.805965211891208,0.29545454545454547,0.4996588120292105,9,sad_hybrid_v1
286,0.5641148007590132,0.45454545454545453,0.498373193030878,9,sad_hybrid_v1
57,0.8602862112586969,0.2553191489361702,0.49730597386518083,9,sad_hybrid_v1
344,0.7786429475015813,0.3076923076923077,0.49607256361601715,9,sad_hybrid_v1
367,0.6137128399746996,0.4166666666666667,0.49548513598987987,9,sad_hybrid_v1
377,0.6101951296647691,0.4166666666666667,0.49407805186590764,9,sad_hybrid_v1
200,0.6984791271347248,0.35714285714285715,0.49367736513960425,9,sad_hybrid_v1
123,0.5904000632511068,0.42857142857142855,0.4933028824432999,9,sad_hybrid_v1
